"_type","drive_type","engine_capacity","fuel_type","id","make","manufacturer_marketing_year","model","n_cylinders","odometer","price","title","transmission","url","year"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LS TJ","4","80","18990","2017 Holden Trax LS TJ Manual","Manual","carsales.com.au/demo/details/Holden-Trax-2017/OAG-AD-16009900/?Cr=0","2017"
"DealFinderItem","null","2.0","Petrol","Jeep-Patriot-2016/OAG-AD-16099954","Jeep","null","Patriot Sport","4","3041","19990","2016 Jeep Patriot Sport Auto 4x2","Auto","carsales.com.au/dealer/details/Jeep-Patriot-2016/OAG-AD-16099954/?Cr=1","2016"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LS TJ","4","5000","16000","2016 Holden Trax LS TJ Auto","Auto","carsales.com.au/private/details/Holden-Trax-2016/SSE-AD-5459457/?Cr=2","2016"
"DealFinderItem","2WD","2.0","Petrol","null","Peugeot","null","4008 Active","4","7600","19990","2016 Peugeot 4008 Active Auto 2WD","Auto","carsales.com.au/private/details/Peugeot-4008-2016/SSE-AD-5441471/?Cr=3","2016"
"DealFinderItem","2WD","2.0","Petrol","SsangYong-Korando-2015/OAG-AD-15997595","SsangYong","null","Korando S","4","9408","17990","2015 SsangYong Korando S Manual 2WD","Manual","carsales.com.au/dealer/details/SsangYong-Korando-2015/OAG-AD-15997595/?Cr=4","2015"
"DealFinderItem","2WD","1.6","Petrol","null","Nissan","null","JUKE ST F15 Series 2","4","11376","19990","2016 Nissan JUKE ST F15 Series 2 Auto 2WD","Auto","carsales.com.au/private/details/Nissan-JUKE-2016/SSE-AD-5541342/?Cr=5","2016"
"DealFinderItem","null","1.6","Petrol","Suzuki-S-Cross-2015/OAG-AD-16136063","Suzuki","null","S-Cross GLX","4","13569","16990","2015 Suzuki S-Cross GLX Auto","Auto","carsales.com.au/dealer/details/Suzuki-S-Cross-2015/OAG-AD-16136063/?Cr=6","2015"
"DealFinderItem","2WD","2.0","Petrol","null","Peugeot","null","4008 Active","4","14085","17990","2015 Peugeot 4008 Active Auto 2WD","Auto","carsales.com.au/private/details/Peugeot-4008-2015/SSE-AD-5526466/?Cr=7","2015"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2015/OAG-AD-16113523","Mitsubishi","null","ASX LS XB","4","14297","19952","2015 Mitsubishi ASX LS XB Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2015/OAG-AD-16113523/?Cr=8","2015"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2014/OAG-AD-16017558","Holden","null","Trax LTZ TJ","4","15147","16740","2014 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2014/OAG-AD-16017558/?Cr=9","2014"
"DealFinderItem","2WD","2.0","Petrol","null","Mitsubishi","null","ASX LS XB","4","17046","17500","2016 Mitsubishi ASX LS XB Manual 2WD","Manual","carsales.com.au/private/details/Mitsubishi-ASX-2016/SSE-AD-5487822/?Cr=10","2016"
"DealFinderItem","2WD","2.0","Petrol","SsangYong-Korando-2015/OAG-AD-15425454","SsangYong","null","Korando SX","4","18139","14490","2015 SsangYong Korando SX Auto 2WD","Auto","carsales.com.au/dealer/details/SsangYong-Korando-2015/OAG-AD-15425454/?Cr=11","2015"
"DealFinderItem","null","2.0","Petrol","null","Mazda","null","CX-3 Neo DK","4","19400","18990","2015 Mazda CX-3 Neo DK Auto","Auto","carsales.com.au/private/details/Mazda-CX-3-2015/SSE-AD-5512682/?Cr=12","2015"
"DealFinderItem","2WD","1.6","Petrol","Suzuki-Vitara-2017/OAG-AD-16197976","Suzuki","null","Vitara RT-S","4","19671","19990","2017 Suzuki Vitara RT-S Auto 2WD","Auto","carsales.com.au/dealer/details/Suzuki-Vitara-2017/OAG-AD-16197976/?Cr=13","2017"
"DealFinderItem","null","1.6","Petrol","null","Peugeot","null","3008 Active","4","20000","19500","2015 Peugeot 3008 Active Auto","Auto","carsales.com.au/private/details/Peugeot-3008-2015/SSE-AD-5042539/?Cr=14","2015"
"DealFinderItem","2WD","2.0","Petrol","SsangYong-Korando-2015/OAG-AD-15793670","SsangYong","null","Korando SX","4","20461","14490","2015 SsangYong Korando SX Auto 2WD","Auto","carsales.com.au/dealer/details/SsangYong-Korando-2015/OAG-AD-15793670/?Cr=15","2015"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax Active TJ","4","21000","15850","2015 Holden Trax Active TJ Manual","Manual","carsales.com.au/private/details/Holden-Trax-2015/SSE-AD-5425801/?Cr=16","2015"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LTZ TJ","4","21040","14200","2013 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/private/details/Holden-Trax-2013/SSE-AD-5403046/?Cr=17","2013"
"DealFinderItem","null","1.8","Petrol","null","Holden","null","Trax LS TJ","4","21151","18999","2016 Holden Trax LS TJ Auto","Auto","carsales.com.au/private/details/Holden-Trax-2016/SSE-AD-5504366/?Cr=18","2016"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2017/OAG-AD-16208465","Mitsubishi","null","ASX LS XC","4","21631","19880","2017 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2017/OAG-AD-16208465/?Cr=19","2017"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","22000","15500","2013 Jeep Compass Sport Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2013/SSE-AD-5294028/?Cr=20","2013"
"DealFinderItem","2WD","2.0","Petrol","null","Mitsubishi","null","ASX LS XB","4","22000","19500","2015 Mitsubishi ASX LS XB Auto 2WD","Auto","carsales.com.au/private/details/Mitsubishi-ASX-2015/SSE-AD-5308642/?Cr=21","2015"
"DealFinderItem","null","2.0","Petrol","Jeep-Compass-2014/OAG-AD-16184927","Jeep","null","Compass Blackhawk","4","22047","16950","2014 Jeep Compass Blackhawk Auto","Auto","carsales.com.au/dealer/details/Jeep-Compass-2014/OAG-AD-16184927/?Cr=22","2014"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2017/OAG-AD-16212468","Mitsubishi","null","ASX LS XC","4","22129","19990","2017 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2017/OAG-AD-16212468/?Cr=23","2017"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2013/OAG-AD-16198675","Holden","null","Trax LTZ TJ","4","22228","14999","2013 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2013/OAG-AD-16198675/?Cr=24","2013"
"DealFinderItem","2WD","1.6","Petrol","Suzuki-Vitara-2015/OAG-AD-15910025","Suzuki","null","Vitara RT-S","4","22308","19990","2015 Suzuki Vitara RT-S Auto 2WD","Auto","carsales.com.au/dealer/details/Suzuki-Vitara-2015/OAG-AD-15910025/?Cr=25","2015"
"DealFinderItem","null","2.0","Petrol","null","Nissan","null","QASHQAI ST J11","4","23000","18400","2015 Nissan QASHQAI ST J11 Manual","Manual","carsales.com.au/private/details/Nissan-QASHQAI-2015/SSE-AD-5304915/?Cr=26","2015"
"DealFinderItem","null","2.0","Petrol","Mazda-CX-3-2017/OAG-AD-16016124","Mazda","null","CX-3 Maxx DK","4","23584","19990","2017 Mazda CX-3 Maxx DK Manual","Manual","carsales.com.au/dealer/details/Mazda-CX-3-2017/OAG-AD-16016124/?Cr=27","2017"
"DealFinderItem","2WD","1.6","Petrol","Nissan-JUKE-2016/OAG-AD-16123060","Nissan","null","JUKE Ti-S F15 Series 2","4","23656","19980","2016 Nissan JUKE Ti-S F15 Series 2 Manual 2WD","Manual","carsales.com.au/dealer/details/Nissan-JUKE-2016/OAG-AD-16123060/?Cr=28","2016"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2017/OAG-AD-16212476","Mitsubishi","null","ASX LS XC","4","23925","19900","2017 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2017/OAG-AD-16212476/?Cr=29","2017"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Patriot Sport","4","24000","19000","2013 Jeep Patriot Sport Auto 4x2","Auto","carsales.com.au/private/details/Jeep-Patriot-2013/SSE-AD-2977056/?Cr=30","2013"
"DealFinderItem","null","2.0","Petrol","null","Jeep","null","Compass Sport","4","24000","15999","2014 Jeep Compass Sport Auto","Auto","carsales.com.au/private/details/Jeep-Compass-2014/SSE-AD-5541707/?Cr=31","2014"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2014/OAG-AD-16154595","Holden","null","Trax LTZ TJ","4","24050","15880","2014 Holden Trax LTZ TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2014/OAG-AD-16154595/?Cr=32","2014"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2017/OAG-AD-16208461","Mitsubishi","null","ASX LS XC","4","24398","19880","2017 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2017/OAG-AD-16208461/?Cr=33","2017"
"DealFinderItem","null","1.8","Petrol","Holden-Trax-2016/OAG-AD-16203964","Holden","null","Trax LS TJ","4","24490","18990","2016 Holden Trax LS TJ Auto","Auto","carsales.com.au/dealer/details/Holden-Trax-2016/OAG-AD-16203964/?Cr=34","2016"
"DealFinderItem","2WD","2.0","Petrol","Mitsubishi-ASX-2017/OAG-AD-16212483","Mitsubishi","null","ASX LS XC","4","24874","19900","2017 Mitsubishi ASX LS XC Auto 2WD","Auto","carsales.com.au/dealer/details/Mitsubishi-ASX-2017/OAG-AD-16212483/?Cr=35","2017"
